"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"6",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"14",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"17",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"18",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"19",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"20",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"21",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"22",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"23",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"24",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"27",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"30",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"31",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"33",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"34",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"36",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"37",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"42",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"43",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"44",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
