"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1
"2",1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1
"3",1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1
"4",0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1
"5",0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1
"6",1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0
"7",0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0
"8",1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1
"9",1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1
"10",0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1
"11",1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1
"12",0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0
"13",0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1
"14",1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1
"15",1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1
"16",0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1
"17",0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0
"18",0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0
"19",0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
"20",0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0
"21",1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1
"22",0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0
"23",0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1
"24",0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1
"25",1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1
"26",0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
"27",0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1
"28",0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1
"29",1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1
"30",0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1
"31",0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1
"32",0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1
"33",1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1
"34",0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1
"35",0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1
"36",1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0
"37",1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1
"38",0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1
"39",0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1
"40",0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1
