"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"2",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"3",1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0
"4",1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"5",1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0
"6",1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1
"7",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"8",1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"9",1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"10",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
"11",1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1
"12",1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0
"13",1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"14",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"15",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
"16",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"17",1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1
"18",1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"19",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"20",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"21",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"22",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"23",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"24",1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0
"25",1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"26",1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0
"27",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"28",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"29",1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1
"30",1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1
"31",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"32",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"33",1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1
"34",1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"35",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0
"36",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"37",1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"38",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"39",1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1
"40",1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1
"41",1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0
"42",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"43",1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1
"44",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"45",1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"46",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"47",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
"48",1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"49",1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"50",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"51",1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0
"52",1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1
"53",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1
"54",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"55",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"56",1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0
"57",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"58",1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"59",1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0
"60",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"61",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"62",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0
"63",1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"64",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"65",1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1
"66",1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"67",1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"68",1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"69",1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"70",1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
"71",1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"72",1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
"73",1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0
"74",1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1
"75",1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0
"76",1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0
