V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25
V1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 0 1
V2 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0
V3 0 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1
V4 0 1 1 0 1 1 1 1 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 0
V5 0 0 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0
V6 1 0 0 0 0 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0
V7 1 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0 1 0 1 1 1 0 0 0 1
V8 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
V9 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1 0
V10 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0
V11 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
V12 1 1 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1
V13 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 1 1
V14 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1
V15 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1
V16 0 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1
V17 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
V18 1 0 0 1 0 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1
V19 1 0 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 1
V20 0 1 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0
