"","n_spp","n_loc","method","env","r2"
"1",5,20,"Null",FALSE,0.108690710892697
"2",5,20,"Null",TRUE,0.0584584426428074
"3",5,20,"cov",FALSE,0.363047975810872
"4",5,20,"cov",TRUE,0.154012730075837
"5",5,20,"partial",FALSE,0.360699441127742
"6",5,20,"partial",TRUE,0.164234031996266
"7",5,100,"Null",FALSE,0.192421905325341
"8",5,100,"Null",TRUE,0.173525631687083
"9",5,100,"cov",FALSE,0.378481453405591
"10",5,100,"cov",TRUE,0.291855628153675
"11",5,100,"partial",FALSE,0.493056349505854
"12",5,100,"partial",TRUE,0.364516636670566
"13",5,500,"Null",FALSE,0.296702827041491
"14",5,500,"Null",TRUE,0.218145042478078
"15",5,500,"cov",FALSE,0.322932175453074
"16",5,500,"cov",TRUE,0.121873012688932
"17",5,500,"partial",FALSE,0.434136079103375
"18",5,500,"partial",TRUE,0.373024443051806
"19",5,2500,"Null",FALSE,0.532749837100493
"20",5,2500,"Null",TRUE,-0.0466975467763246
"21",5,2500,"cov",FALSE,0.307675545606196
"22",5,2500,"cov",TRUE,0.176196535425829
"23",5,2500,"partial",FALSE,0.5127030309709
"24",5,2500,"partial",TRUE,0.340639716940654
"25",10,20,"Null",FALSE,0.0674394503838786
"26",10,20,"Null",TRUE,0.0706433150643638
"27",10,20,"cov",FALSE,0.227064765954215
"28",10,20,"cov",TRUE,0.109818205622048
"29",10,20,"partial",FALSE,0.239158098849341
"30",10,20,"partial",TRUE,0.128328968969801
"31",10,100,"Null",FALSE,0.14707853077173
"32",10,100,"Null",TRUE,0.138261866976278
"33",10,100,"cov",FALSE,0.270266816277733
"34",10,100,"cov",TRUE,0.19201315607653
"35",10,100,"partial",FALSE,0.351330031026782
"36",10,100,"partial",TRUE,0.352623654788904
"37",10,500,"Null",FALSE,0.26337865960327
"38",10,500,"Null",TRUE,0.245358160771467
"39",10,500,"cov",FALSE,0.237158879012027
"40",10,500,"cov",TRUE,0.241337624781573
"41",10,500,"partial",FALSE,0.413980258673277
"42",10,500,"partial",TRUE,0.422212160215686
"43",10,2500,"Null",FALSE,0.454361457156932
"44",10,2500,"Null",TRUE,0.114738064458387
"45",10,2500,"cov",FALSE,0.252365754561205
"46",10,2500,"cov",TRUE,0.240796824512814
"47",10,2500,"partial",FALSE,0.492801279374964
"48",10,2500,"partial",TRUE,0.421958273955975
"49",20,20,"Null",FALSE,0.0590312464783049
"50",20,20,"Null",TRUE,0.0607400613730132
"51",20,20,"cov",FALSE,0.169390859777524
"52",20,20,"cov",TRUE,0.100656470424011
"53",20,20,"partial",FALSE,-0.0265368068172691
"54",20,20,"partial",TRUE,-0.0805873898543372
"55",20,100,"Null",FALSE,0.103458824088168
"56",20,100,"Null",TRUE,0.12943898686043
"57",20,100,"cov",FALSE,0.165643204503226
"58",20,100,"cov",TRUE,0.190286127647714
"59",20,100,"partial",FALSE,0.277742657903154
"60",20,100,"partial",TRUE,0.319579080273004
"61",20,500,"Null",FALSE,0.208512243389439
"62",20,500,"Null",TRUE,0.201749476750075
"63",20,500,"cov",FALSE,0.176472895914744
"64",20,500,"cov",TRUE,0.158371544784923
"65",20,500,"partial",FALSE,0.31421289136234
"66",20,500,"partial",TRUE,0.405663381075364
"67",20,2500,"Null",FALSE,0.345192097252868
"68",20,2500,"Null",TRUE,0.01946549888601
"69",20,2500,"cov",FALSE,0.19223998955716
"70",20,2500,"cov",TRUE,0.134920839842901
"71",20,2500,"partial",FALSE,0.337645569077277
"72",20,2500,"partial",TRUE,0.395228004197097
